,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,artifact,equip,respawn,mvp,kill_count,position,grade,awaken_grade,attribute_cd,level,job_cd,is_win,first_pick,ban
12,3.0,c5089,0.0,20134.03,0.0,25398.0,efa02,"['set_speed', 'set_torrent']",0.0,0.0,0.0,3.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
13,4.0,c1014,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,assassin,2,0.0,1.0
14,5.0,c2099,6065.0,18201.49,0.0,29531.0,efm03,"['set_speed', 'set_torrent']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,mage,2,0.0,0.0
15,1.0,c5149,8800.0,4192.92,16239.0,106273.0,efw32,['set_speed'],0.0,0.0,1.0,3.0,6.0,6.0,ice,60.0,warrior,1,0.0,0.0
16,2.0,c1159,2784.0,27478.46,0.0,30262.0,efw35,"['set_speed', 'set_max_hp']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,warrior,1,0.0,0.0
17,3.0,c1141,6995.0,12728.85,0.0,46914.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
18,4.0,c5046,24016.0,10060.26,0.0,126978.0,ef436,['set_speed'],0.0,1.0,2.0,4.0,6.0,6.0,wind,60.0,assassin,1,0.0,0.0
19,5.0,c2004,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,ranger,1,0.0,1.0
20,1.0,c1159,16447.0,90948.58,0.0,107395.0,efw35,"['set_max_hp', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,warrior,1,1.0,0.0
21,2.0,c2090,22813.0,62047.49,0.0,84860.0,efh04,"['set_speed', 'set_acc']",0.0,0.0,0.0,1.0,6.0,6.0,dark,60.0,manauser,1,0.0,0.0
22,3.0,c6037,2192.0,54672.08,20165.0,146020.0,efh12,"['set_speed', 'set_immune']",0.0,1.0,1.0,3.0,6.0,6.0,light,60.0,manauser,1,0.0,0.0
23,4.0,c2095,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,warrior,1,0.0,1.0
24,5.0,c2019,22872.0,44085.59,8714.0,144663.0,efw32,"['set_speed', 'set_penetrate']",0.0,0.0,1.0,4.0,6.0,6.0,dark,60.0,warrior,1,0.0,0.0
25,1.0,c5149,687.0,76239.2,0.0,76926.0,efw32,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,0.0,0.0
26,2.0,c2101,48250.0,77622.95,2305.0,128178.0,ef501,"['set_cri', 'set_speed']",0.0,1.0,0.0,4.0,6.0,6.0,dark,60.0,warrior,2,0.0,0.0
27,3.0,c1141,13142.0,42495.65,0.0,55637.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
28,4.0,c5046,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,assassin,2,0.0,1.0
29,5.0,c1094,19057.0,5715.89,0.0,24772.0,efm03,['set_speed'],0.0,0.0,0.0,2.0,6.0,6.0,ice,60.0,mage,2,0.0,0.0
30,1.0,c4144,17797.0,23862.59,1027.0,78528.0,efa15,"['set_speed', 'set_immune']",0.0,1.0,0.0,4.0,6.0,6.0,light,60.0,assassin,2,1.0,0.0
31,2.0,c1151,0.0,10893.43,0.0,14875.0,efr13,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
32,3.0,c2014,4147.0,19826.03,0.0,23973.0,efa08,"['set_cri', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,dark,60.0,assassin,2,0.0,0.0
33,4.0,c6037,0.0,22005.99,0.0,57847.0,efh12,"['set_speed', 'set_immune']",0.0,0.0,0.0,3.0,6.0,6.0,light,60.0,manauser,2,0.0,0.0
34,5.0,c1134,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,fire,60.0,warrior,2,0.0,1.0
35,1.0,c5149,10235.0,12341.79,14882.0,127486.0,efw32,['set_speed'],0.0,1.0,1.0,3.0,6.0,6.0,ice,60.0,warrior,1,0.0,0.0
36,2.0,c6062,0.0,12329.81,0.0,68061.0,efm11,"['set_speed', 'set_acc']",0.0,0.0,0.0,2.0,6.0,6.0,light,60.0,mage,1,0.0,0.0
37,3.0,c1125,8320.0,21374.73,0.0,72565.0,efa19,"['set_acc', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,ice,60.0,assassin,1,0.0,0.0
38,4.0,c2048,15352.0,12340.0,0.0,61988.0,efm01,"['set_speed', 'set_coop']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,mage,1,0.0,0.0
39,5.0,c2004,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,ranger,1,0.0,1.0
40,1.0,c6037,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,manauser,2,0.0,1.0
41,2.0,c2070,2887.0,99409.23,12170.0,186763.0,efk09,"['set_max_hp', 'set_speed']",0.0,1.0,0.0,1.0,6.0,6.0,light,60.0,knight,2,0.0,0.0
42,3.0,c5089,0.0,17889.46,0.0,25119.0,efa02,"['set_speed', 'set_torrent']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
43,4.0,c4144,37397.0,23452.29,3130.0,170015.0,efa15,"['set_penetrate', 'set_speed']",0.0,0.0,1.0,3.0,6.0,6.0,light,60.0,assassin,2,0.0,0.0
44,5.0,c2020,22810.0,21844.31,0.0,92852.0,ef403,"['set_cri', 'set_cri_dmg']",0.0,0.0,1.0,4.0,6.0,6.0,light,60.0,ranger,2,0.0,0.0
45,1.0,c5149,1498.0,76239.2,0.0,187865.0,efw32,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,1,1.0,0.0
46,2.0,c1141,0.0,42495.65,0.0,42495.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
47,3.0,c2101,38930.0,65730.85,5204.0,172795.0,ef501,"['set_cri', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,dark,60.0,warrior,1,0.0,0.0
48,4.0,c6062,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,mage,1,0.0,1.0
49,5.0,c5046,19455.0,12656.54,0.0,239257.0,efa23,['set_speed'],0.0,1.0,2.0,4.0,6.0,6.0,wind,60.0,assassin,1,0.0,0.0
50,1.0,c1159,918.0,0.0,0.0,3576.0,efw35,"['set_max_hp', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,warrior,1,0.0,0.0
51,2.0,c2090,21189.0,0.0,0.0,53093.0,efh04,"['set_speed', 'set_acc']",0.0,1.0,0.0,1.0,6.0,6.0,dark,60.0,manauser,1,0.0,0.0
52,3.0,c2046,13911.0,0.0,0.0,35180.0,efr13,"['set_cri', 'set_speed']",0.0,0.0,0.0,3.0,6.0,6.0,light,60.0,ranger,1,0.0,0.0
53,4.0,c1150,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,fire,60.0,ranger,1,0.0,1.0
54,5.0,c1147,5928.0,2365.63,0.0,10952.0,efm03,"['set_speed', 'set_acc']",0.0,0.0,0.0,4.0,6.0,6.0,ice,60.0,mage,1,0.0,0.0
55,1.0,c5149,669.0,46063.56,0.0,54202.0,efw32,['set_speed'],0.0,1.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,1.0,0.0
56,2.0,c1141,0.0,41065.09,0.0,41065.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
57,3.0,c2004,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,ranger,2,0.0,1.0
58,4.0,c5046,0.0,27173.74,0.0,27173.0,efa23,['set_speed'],0.0,0.0,0.0,1.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
59,5.0,c5024,0.0,9532.46,0.0,9532.0,efr18,['set_speed'],0.0,0.0,0.0,4.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
60,1.0,c2020,11204.0,3107.7,0.0,41262.0,efr04,"['set_cri', 'set_speed']",0.0,0.0,1.0,2.0,6.0,6.0,light,60.0,ranger,1,1.0,0.0
61,2.0,c2004,1165.0,0.0,3934.0,32050.0,ef433,['set_speed'],0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,ranger,1,0.0,0.0
62,3.0,c1020,4831.0,6004.91,0.0,10835.0,efr04,"['set_cri', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
63,4.0,c2014,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,assassin,1,0.0,1.0
64,5.0,c2011,42840.0,5578.88,5553.0,124717.0,efa02,"['set_immune', 'set_cri_dmg']",0.0,1.0,3.0,3.0,6.0,6.0,dark,60.0,assassin,1,0.0,0.0
65,1.0,c5149,7146.0,74881.52,0.0,203054.0,efw32,['set_speed'],0.0,1.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,0.0,0.0
66,2.0,c1014,0.0,18049.72,0.0,18049.0,efa02,"['set_speed', 'set_penetrate']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
67,3.0,c1007,0.0,23029.8,0.0,23029.0,efa04,['set_att'],0.0,0.0,0.0,1.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
68,4.0,c3124,3145.0,32994.16,0.0,55248.0,efw30,['set_speed'],0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,warrior,2,0.0,0.0
69,5.0,c1125,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,ice,60.0,assassin,2,0.0,1.0
70,1.0,c1159,3677.0,26103.98,0.0,45178.0,efw35,"['set_immune', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,wind,60.0,warrior,1,1.0,0.0
71,2.0,c1126,23984.0,4941.32,0.0,141837.0,efr13,['set_speed'],0.0,1.0,0.0,2.0,6.0,6.0,ice,60.0,ranger,1,0.0,0.0
72,3.0,c2008,0.0,12241.55,8948.0,87911.0,efk03,"['set_immune', 'set_shield']",0.0,0.0,0.0,3.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
73,4.0,c2109,48412.0,0.0,0.0,120264.0,efk02,"['set_counter', 'set_immune']",0.0,0.0,2.0,4.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
74,5.0,c4144,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,assassin,1,0.0,1.0
75,1.0,c5149,0.0,74449.4,0.0,74449.0,efw32,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,0.0,0.0
76,2.0,c2101,5928.0,63560.84,0.0,78356.0,ef501,"['set_cri', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,dark,60.0,warrior,2,0.0,0.0
77,3.0,c1092,4987.0,30562.08,0.0,88752.0,efw27,"['set_speed', 'set_penetrate']",0.0,1.0,0.0,1.0,6.0,6.0,fire,60.0,warrior,2,0.0,0.0
78,4.0,c2048,1004.0,41188.57,0.0,51059.0,efm01,"['set_speed', 'set_coop']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,mage,2,0.0,0.0
79,5.0,c5089,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,assassin,2,0.0,1.0
80,1.0,c2089,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,warrior,2,0.0,1.0
81,2.0,c6062,3188.0,52119.55,0.0,55307.0,efm03,"['set_speed', 'set_immune']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,mage,2,0.0,0.0
82,3.0,c2101,10920.0,75834.67,0.0,133886.0,ef501,"['set_speed', 'set_penetrate']",0.0,1.0,1.0,2.0,6.0,6.0,dark,60.0,warrior,2,0.0,0.0
83,4.0,c5089,17056.0,19013.59,1816.0,37886.0,efa22,"['set_speed', 'set_torrent']",0.0,0.0,0.0,3.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
84,5.0,c1151,13178.0,42532.47,0.0,55710.0,efr13,"['set_speed', 'set_acc']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
85,1.0,c5149,2204.0,74881.52,0.0,77085.0,efw32,['set_speed'],0.0,1.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,1,1.0,0.0
86,2.0,c1159,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,warrior,1,0.0,1.0
87,3.0,c1141,32398.0,11197.35,0.0,43595.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
88,4.0,c5046,15019.0,33315.32,0.0,48334.0,efa23,['set_speed'],0.0,0.0,0.0,1.0,6.0,6.0,wind,60.0,assassin,1,0.0,0.0
89,5.0,c2110,15131.0,5795.15,0.0,20926.0,efr18,"['set_speed', 'set_acc']",0.0,0.0,0.0,4.0,6.0,6.0,dark,60.0,ranger,1,0.0,0.0
90,1.0,c1159,1921.0,880.38,0.0,6258.0,efw35,"['set_max_hp', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,warrior,1,1.0,0.0
91,2.0,c4004,3861.0,0.0,8383.0,29528.0,efk04,"['set_speed', 'set_max_hp']",0.0,1.0,0.0,1.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
92,3.0,c4144,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,assassin,1,0.0,1.0
93,4.0,c1141,14095.0,2323.44,0.0,26788.0,efr22,"['set_speed', 'set_acc']",0.0,0.0,0.0,3.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
94,5.0,c2110,3720.0,8026.0,0.0,15202.0,efr18,"['set_speed', 'set_acc']",0.0,0.0,0.0,4.0,6.0,6.0,dark,60.0,ranger,1,0.0,0.0
95,1.0,c5149,2374.0,7387.79,0.0,45094.0,efw32,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,0.0,0.0
96,2.0,c2101,0.0,0.0,0.0,2717.0,ef501,"['set_cri', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,dark,60.0,warrior,2,0.0,0.0
97,3.0,c1154,0.0,18074.39,0.0,18074.0,efr08,"['set_speed', 'set_max_hp']",0.0,0.0,0.0,2.0,6.0,6.0,ice,60.0,ranger,2,0.0,0.0
98,4.0,c2048,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,mage,2,0.0,1.0
99,5.0,c2111,1547.0,38563.61,0.0,70007.0,,['set_speed'],0.0,1.0,0.0,4.0,6.0,6.0,light,60.0,mage,2,0.0,0.0
100,1.0,c1126,18052.0,38088.9,0.0,97032.0,efr13,['set_speed'],0.0,1.0,0.0,1.0,6.0,6.0,ice,60.0,ranger,1,1.0,0.0
101,2.0,c2101,16569.0,13889.21,0.0,39066.0,ef501,"['set_speed', 'set_cri']",0.0,0.0,0.0,2.0,6.0,6.0,dark,60.0,warrior,1,0.0,0.0
102,3.0,c1159,6266.0,3761.75,0.0,10027.0,efw35,"['set_max_hp', 'set_speed']",0.0,0.0,0.0,3.0,6.0,6.0,wind,60.0,warrior,1,0.0,0.0
103,4.0,c2015,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,mage,1,0.0,1.0
104,5.0,c1112,1440.0,9541.71,0.0,41112.0,efm01,"['set_speed', 'set_immune']",0.0,0.0,1.0,4.0,6.0,6.0,fire,60.0,mage,1,0.0,0.0
105,1.0,c5149,3897.0,40610.54,0.0,88998.0,efw32,['set_speed'],0.0,1.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,0.0,0.0
106,2.0,c1141,6343.0,39999.28,0.0,49122.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
107,3.0,c5046,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,assassin,2,0.0,1.0
108,4.0,c2004,4719.0,12569.85,0.0,36753.0,efr13,"['set_immune', 'set_speed']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,ranger,2,0.0,0.0
109,5.0,c1125,6511.0,24385.62,0.0,61484.0,efa19,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,ice,60.0,assassin,2,0.0,0.0
110,1.0,c6037,792.0,51048.41,9813.0,129429.0,efh12,"['set_speed', 'set_immune']",0.0,0.0,0.0,2.0,6.0,6.0,light,60.0,manauser,1,0.0,0.0
111,2.0,c2109,73817.0,16436.31,3454.0,321239.0,efk02,"['set_immune', 'set_counter']",0.0,1.0,4.0,4.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
112,3.0,c1134,0.0,55794.26,0.0,70317.0,efw01,"['set_penetrate', 'set_scar']",0.0,0.0,0.0,3.0,6.0,6.0,fire,60.0,warrior,1,0.0,0.0
113,4.0,c4123,4033.0,19382.0,7482.0,64785.0,efk09,"['set_speed', 'set_res']",0.0,0.0,0.0,1.0,6.0,6.0,wind,60.0,knight,1,0.0,0.0
114,5.0,c2095,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,warrior,1,0.0,1.0
115,1.0,c5149,1155.0,74881.52,0.0,167485.0,efw32,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,2,1.0,0.0
116,2.0,c1141,0.0,41065.09,0.0,111410.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
117,3.0,c5046,10462.0,57433.13,0.0,124171.0,efa23,['set_speed'],0.0,0.0,0.0,1.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
118,4.0,c2047,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,warrior,2,0.0,1.0
119,5.0,c2079,36421.0,125606.98,4704.0,356665.0,efw31,"['set_def', 'set_vampire']",0.0,1.0,2.0,4.0,6.0,6.0,light,60.0,warrior,2,0.0,0.0
120,1.0,c1159,26975.0,59010.8,8565.0,153642.0,efw35,"['set_speed', 'set_max_hp']",0.0,0.0,1.0,2.0,6.0,6.0,wind,60.0,warrior,1,0.0,0.0
121,2.0,c2090,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,manauser,1,0.0,1.0
122,3.0,c2089,0.0,65650.27,0.0,65650.0,ef427,"['set_speed', 'set_cri']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,warrior,1,0.0,0.0
123,4.0,c2070,26153.0,0.0,7507.0,77978.0,efk09,"['set_speed', 'set_res']",0.0,0.0,0.0,1.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
124,5.0,c2073,9587.0,79081.6,12922.0,231590.0,ef505,"['set_speed', 'set_penetrate']",0.0,1.0,2.0,3.0,6.0,6.0,dark,60.0,warrior,1,0.0,0.0
125,1.0,c5149,40438.0,91720.1,13702.0,300692.0,efw32,['set_speed'],0.0,1.0,2.0,3.0,6.0,6.0,ice,60.0,warrior,2,1.0,0.0
126,2.0,c1141,14227.0,49276.02,0.0,99038.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
127,3.0,c5046,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,assassin,2,0.0,1.0
128,4.0,c2004,7285.0,12159.59,0.0,37212.0,efr13,"['set_immune', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,light,60.0,ranger,2,0.0,0.0
129,5.0,c1125,1465.0,23549.34,0.0,58011.0,efa19,"['set_acc', 'set_speed']",0.0,0.0,0.0,4.0,6.0,6.0,ice,60.0,assassin,2,0.0,0.0
130,1.0,c2090,0.0,74070.73,0.0,95190.0,efh04,"['set_speed', 'set_acc']",0.0,1.0,0.0,2.0,6.0,6.0,dark,60.0,manauser,1,0.0,0.0
131,2.0,c2089,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,warrior,1,0.0,1.0
132,3.0,c2109,21422.0,3172.7,1177.0,73291.0,efk02,"['set_immune', 'set_counter']",0.0,0.0,1.0,1.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
133,4.0,c2070,10351.0,4764.68,0.0,62635.0,efk09,"['set_speed', 'set_def']",0.0,0.0,0.0,3.0,6.0,6.0,light,60.0,knight,1,0.0,0.0
134,5.0,c1134,14152.0,2888.82,0.0,38160.0,efw01,"['set_scar', 'set_penetrate']",0.0,0.0,0.0,4.0,6.0,6.0,fire,60.0,warrior,1,0.0,0.0
135,1.0,c5149,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,ice,60.0,warrior,2,1.0,1.0
136,2.0,c6037,442.0,39164.9,0.0,84649.0,efh12,"['set_immune', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,light,60.0,manauser,2,0.0,0.0
137,3.0,c1141,8316.0,37971.06,0.0,149240.0,efr22,"['set_acc', 'set_speed']",0.0,1.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,2,0.0,0.0
138,4.0,c5046,9745.0,23586.59,0.0,84808.0,efa23,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,wind,60.0,assassin,2,0.0,0.0
139,5.0,c2110,3625.0,38014.38,0.0,54508.0,efr18,"['set_speed', 'set_acc']",0.0,0.0,0.0,4.0,6.0,6.0,dark,60.0,ranger,2,0.0,0.0
140,1.0,c1126,0.0,50353.08,0.0,59048.0,efr13,['set_speed'],0.0,0.0,0.0,1.0,6.0,6.0,ice,60.0,ranger,2,0.0,0.0
141,2.0,c2070,9070.0,96378.83,4003.0,170318.0,efk09,"['set_max_hp', 'set_speed']",0.0,1.0,0.0,2.0,6.0,6.0,light,60.0,knight,2,0.0,0.0
142,3.0,c1117,23887.0,87801.74,0.0,120383.0,efk03,"['set_counter', 'set_immune']",0.0,0.0,0.0,3.0,6.0,6.0,light,60.0,knight,2,0.0,0.0
143,4.0,c1121,6360.0,8306.65,3679.0,96602.0,efw05,"['set_immune', 'set_shield']",0.0,0.0,0.0,4.0,6.0,6.0,wind,60.0,warrior,2,0.0,0.0
144,5.0,c2095,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,warrior,2,0.0,1.0
145,1.0,c5149,24667.0,36194.47,16670.0,209753.0,efw32,['set_speed'],0.0,1.0,1.0,3.0,6.0,6.0,ice,60.0,warrior,1,1.0,0.0
146,2.0,c1141,16972.0,18141.32,0.0,117537.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,1.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
147,3.0,c2004,4687.0,11727.72,5400.0,47572.0,efr13,"['set_immune', 'set_speed']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,ranger,1,0.0,0.0
148,4.0,c5046,19124.0,18132.94,0.0,138569.0,efa23,['set_speed'],0.0,0.0,1.0,2.0,6.0,6.0,wind,60.0,assassin,1,0.0,0.0
149,5.0,c2101,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,warrior,1,0.0,1.0
150,1.0,c1159,10048.0,32394.22,0.0,42442.0,efw35,"['set_speed', 'set_max_hp']",0.0,0.0,0.0,2.0,6.0,6.0,wind,60.0,warrior,2,0.0,0.0
151,2.0,c2070,21429.0,90049.08,0.0,178962.0,efk03,"['set_speed', 'set_immune']",0.0,1.0,1.0,1.0,6.0,6.0,light,60.0,knight,2,0.0,0.0
152,3.0,c6037,1400.0,5175.32,7815.0,51882.0,efh12,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,light,60.0,manauser,2,0.0,0.0
153,4.0,c2090,17822.0,63809.81,0.0,124122.0,,"['set_acc', 'set_speed']",0.0,0.0,0.0,4.0,6.0,6.0,dark,60.0,manauser,2,0.0,0.0
154,5.0,c2050,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,dark,60.0,mage,2,0.0,1.0
155,1.0,c5149,15752.0,39027.04,8598.0,146682.0,efw32,['set_speed'],0.0,1.0,1.0,3.0,6.0,6.0,ice,60.0,warrior,1,1.0,0.0
156,2.0,c1141,6755.0,42495.65,0.0,88453.0,efr22,"['set_acc', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,fire,60.0,ranger,1,0.0,0.0
157,3.0,c2101,30604.0,48391.39,4215.0,110162.0,ef501,"['set_cri', 'set_speed']",0.0,0.0,0.0,4.0,6.0,6.0,dark,60.0,warrior,1,0.0,0.0
